,Island,P.locat,NP,GP,BFj,BUj,lon,lat,site,LCC,,site2
577,Kiritimati,outer,0.395753983,0.376134734,0.001865333,0.035750266,-157.54984,1.85203,1,16,,-157.55
581,Kiritimati,outer,1.043967006,1.041176259,0.026455314,0.027988788,-157.54984,1.85203,1,46,,-157.54984
580,Kiritimati,outer,1.085710919,1.090819949,0.005059609,0.057284269,-157.54984,1.85203,1,74,,-157.54984
578,Kiritimati,outer,1.146458874,1.153723495,0.003919256,0.060580213,-157.54984,1.85203,1,79,,-157.54984
582,Kiritimati,outer,1.282550966,1.247961216,0,0.022645099,-157.54984,1.85203,1,74,,-157.54984
579,Kiritimati,outer,2.01076443,1.982098278,0.005396646,0.02317205,-157.54984,1.85203,1,81,,-157.54984
593,Kiritimati,outer,1.369016682,1.343739955,0.01450448,0.017453642,-157.53473,1.90498,3,99,,-157.53473
592,Kiritimati,outer,1.375124373,1.342844373,0.0143898,0.010565049,-157.53473,1.90498,3,114,,-157.53473
591,Kiritimati,outer,1.862221124,1.822098381,0.001238142,0.015873964,-157.53473,1.90498,3,127,,-157.53473
594,Kiritimati,outer,1.875740621,1.831368312,0.001592869,0.011269671,-157.53473,1.90498,3,128,,-157.53473
589,Kiritimati,outer,2.039383466,1.988442741,0.005329624,0.0009645,-157.53473,1.90498,3,136,,-157.53473
590,Kiritimati,outer,3.067124323,3.042882555,0.012074405,0.020918676,-157.53473,1.90498,3,155,,-157.53473
621,Kiritimati,outer,0.301069697,0.252601289,0.008417346,0.000349095,-157.51996,1.85092,8,18,,-157.51996
620,Kiritimati,outer,0.904747599,0.873896323,0.02314282,0.003240752,-157.51996,1.85092,8,54,,-157.51996
624,Kiritimati,outer,0.976438306,0.94013095,0.018674285,0.002253207,-157.51996,1.85092,8,63,,-157.51996
619,Kiritimati,outer,1.895392315,1.880279002,0.040675936,0.0014456,-157.51996,1.85092,8,88,,-157.51996
623,Kiritimati,outer,1.98594171,1.935500082,0.004274746,0.002518474,-157.51996,1.85092,8,90,,-157.51996
622,Kiritimati,outer,2.739718404,2.694313673,0.009465222,0.002364895,-157.51996,1.85092,8,136,,-157.51996
640,Kiritimati,outer,0.192101777,0.14088827,0.00205374,0.003967601,-157.49509,2.02287,11,6,,-157.49509
641,Kiritimati,outer,0.217659862,0.18777037,0.007563066,0.019782291,-157.49509,2.02287,11,15,,-157.49509
639,Kiritimati,outer,0.605738401,0.558685363,0.007752638,0.002429174,-157.49509,2.02287,11,24,,-157.49509
642,Kiritimati,outer,0.92679614,0.889028809,0,0.019467517,-157.49509,2.02287,11,53,,-157.49509
637,Kiritimati,outer,1.400493544,1.357263587,0.003454052,0.01055084,-157.49509,2.02287,11,71,,-157.49509
638,Kiritimati,outer,2.842504045,2.805920349,0.009608796,0.011042357,-157.49509,2.02287,11,115,,-157.49509
583,Kiritimati,outer,0.179514933,0.129643864,0.004431657,0.002932124,-157.494,1.944188,2,10,,-157.494
588,Kiritimati,outer,1.024460846,0.974278863,0.000296259,0.006756607,-157.494,1.944188,2,49,,-157.494
585,Kiritimati,outer,1.26292688,1.287512099,0.073380012,0.008440056,-157.494,1.944188,2,64,,-157.494
586,Kiritimati,outer,1.372073173,1.33537725,0.016924827,0.003614098,-157.494,1.944188,2,82,,-157.494
587,Kiritimati,outer,1.759304946,1.723279856,0.012209418,0.00900034,-157.494,1.944188,2,132,,-157.494
584,Kiritimati,outer,2.197065921,2.193799832,0.05099581,0.002972949,-157.494,1.944188,2,145,,-157.494
654,Kiritimati,outer,2.165039097,2.109689354,0.001699478,0.000185627,-157.49207,1.94357,13,83,,-157.49207
649,Kiritimati,outer,3.154990413,3.104266539,0.006510974,0,-157.49207,1.94357,13,146,,-157.49207
651,Kiritimati,outer,3.279915656,3.224899673,0.002218865,0,-157.49207,1.94357,13,160,,-157.49207
650,Kiritimati,outer,3.503130094,3.453583825,0.00768858,0,-157.49207,1.94357,13,144,,-157.49207
653,Kiritimati,outer,3.644089354,3.591178821,0.004324316,0,-157.49207,1.94357,13,184,,-157.49207
652,Kiritimati,outer,4.928851133,4.871616285,0,0,-157.49207,1.94357,13,251,,-157.49207
691,Kiritimati,patch,4.796140812,4.743303203,0.003986041,0.000411199,-157.48654,1.93133,20,510,,-157.48654
692,Kiritimati,patch,5.069558894,5.013677137,0.000756265,0.000596826,-157.48654,1.93133,20,439,,-157.48654
695,Kiritimati,patch,5.310484317,5.261869894,0.008164022,0.000456403,-157.48654,1.93133,20,303,,-157.48654
693,Kiritimati,patch,5.727525759,5.67293927,0.000551425,0.002096934,-157.48654,1.93133,20,477,,-157.48654
694,Kiritimati,patch,7.442399576,7.399559568,0.013798015,0.000596826,-157.48654,1.93133,20,404,,-157.48654
696,Kiritimati,patch,10.69643496,10.64906327,0.00510651,0.004756652,-157.48654,1.93133,20,353,,-157.48654
657,Kiritimati,outer,1.099798435,1.06690417,0.021441326,0.002899258,-157.48532,1.96122,14,86,,-157.48532
656,Kiritimati,outer,1.303025671,1.248952343,0.002108291,0.001053229,-157.48532,1.96122,14,71,,-157.48532
